"Year; Documents"
"2022;""217"""
"2021;""184"""
"2020;""126"""
"2019;""163"""
"2018;""134"""
"2017;""103"""
"2016;""98"""
"2015;""72"""
"2014;""69"""
"2013;""58"""
"2012;""73"""
"2011;""55"""
"2010;""52"""
"2009;""45"""
"2008;""41"""
"2007;""28"""
"2006;""25"""
"2005;""18"""
"2004;""13"""
"2003;""5"""
"2002;""12"""
"2001;""7"""
"2000;""3"""
"1999;""7"""
"1998;""6"""
"1997;""1"""
"1996;""11"""
"1995;""7"""
"1994;""10"""
"1993;""4"""
"1992;""2"""
"1990;""1"""
"1989;""1"""
"1986;""1"""
"1985;""2"""
"1984;""1"""
"1983;""1"""
